subjID	session	Block	trialCount	earnings	Gam1Onset	Gam2Onset	FBOnset	KPs	RT	KPlate	RTlate	KP_Final	SLOnset	Gam1_1	Gam1_2	Gam2_1	Gam2_2	jit1	jit2	jit3	
14	2.000	1.000	1.000	1000.000	82.802	84.972	85.867	8,	86.023,	nan	nan	8.000	88.884	321.000	-107.000	428.000	-107.000	1.170	0.895	2.727	
14	2.000	1.000	2.000	1000.000	91.621	94.260	94.803	8,	94.974,	nan	nan	8.000	97.822	-214.000	214.000	-321.000	428.000	1.648	0.543	3.190	
14	2.000	1.000	3.000	1000.000	101.021	104.013	104.889	9,	105.329,	nan	nan	9.000	107.906	-107.000	321.000	-428.000	428.000	2.000	0.876	3.415	
14	2.000	1.000	4.000	1000.000	111.331	113.962	114.905	9,	115.063,	nan	nan	9.000	117.918	-321.000	321.000	-428.000	428.000	1.638	0.944	2.990	
14	2.000	1.000	5.000	1000.000	120.918	123.612	125.515	8,	126.154,	nan	nan	8.000	128.527	-321.000	214.000	-107.000	107.000	1.701	1.904	3.395	
14	2.000	1.000	6.000	1000.000	131.933	133.956	134.971	9,	135.354,	nan	nan	9.000	137.988	-107.000	214.000	-428.000	107.000	1.031	1.016	2.707	
14	2.000	1.000	7.000	1000.000	140.705	143.360	144.906	8,	145.233,	nan	nan	8.000	147.919	-428.000	428.000	-107.000	214.000	1.662	1.547	2.341	
14	2.000	1.000	8.000	1000.000	150.270	151.810	152.561	8,	152.965,	nan	nan	8.000	155.574	-428.000	428.000	-214.000	107.000	0.548	0.751	2.399	
14	2.000	1.000	9.000	1000.000	157.983	160.179	161.851	9,	162.245,	nan	nan	9.000	164.863	-321.000	214.000	-214.000	107.000	1.204	1.672	3.595	
14	2.000	1.000	10.000	1000.000	168.468	170.524	171.453	8,	171.936,	nan	nan	8.000	174.465	-428.000	321.000	-321.000	107.000	1.064	0.929	3.453	
14	2.000	1.000	11.000	1000.000	177.932	180.877	182.086	8,	182.472,	nan	nan	8.000	185.103	-428.000	428.000	-321.000	107.000	1.957	1.209	3.730	
14	2.000	1.000	12.000	1000.000	188.843	191.160	192.571	9,	193.394,	nan	nan	9.000	195.589	-107.000	428.000	-428.000	107.000	1.325	1.412	2.778	
14	2.000	1.000	13.000	1000.000	198.377	201.075	202.857	8,	203.292,	nan	nan	8.000	205.869	-214.000	107.000	-321.000	214.000	1.706	1.783	2.740	
14	2.000	1.000	14.000	1000.000	208.624	210.482	212.111	8,	212.507,	nan	nan	8.000	215.129	321.000	214.000	428.000	214.000	0.871	1.629	3.749	
14	2.000	1.000	15.000	1000.000	218.890	221.808	223.581	8,	223.940,	nan	nan	8.000	226.599	-214.000	428.000	-107.000	214.000	1.928	1.773	3.177	
14	2.000	1.000	16.000	1000.000	229.787	231.654	232.322	8,	232.910,	nan	nan	8.000	235.339	-214.000	428.000	-107.000	107.000	0.876	0.669	2.354	
14	2.000	1.000	17.000	1000.000	237.744	239.325	240.206	8,	240.932,	nan	nan	8.000	243.222	-428.000	428.000	-107.000	107.000	0.630	0.881	3.068	
14	2.000	1.000	18.000	1000.000	246.305	248.679	249.965	9,	250.378,	nan	nan	9.000	252.983	-107.000	321.000	-428.000	107.000	1.387	1.286	3.447	
14	2.000	1.000	19.000	1000.000	256.442	258.751	260.404	8,	260.816,	nan	nan	8.000	263.421	-214.000	214.000	-321.000	321.000	1.320	1.653	2.129	
14	2.000	1.000	20.000	1000.000	265.567	267.071	269.061	9,	269.383,	nan	nan	9.000	272.073	-321.000	321.000	-107.000	214.000	0.519	1.990	2.090	
14	2.000	1.000	21.000	1000.000	274.210	276.398	277.047	8,	277.460,	nan	nan	8.000	280.059	-428.000	321.000	-321.000	428.000	1.233	0.650	2.521	
