subjID	session	Block	trialCount	earnings	Gam1Onset	Gam2Onset	FBOnset	KPlate	RTlate	KPs	RT	KP_Final	SLOnset	Gam1_1	Gam1_2	Gam2_1	Gam2_2	jit1	jit2	jit3	
2	2.000	1.000	1.000	572.000	110.768	112.852	113.500	8.000	116.517	nan	nan	nan	nan	-107.000	428.000	-321.000	107.000	1.084	0.650	3.190	
2	2.000	1.000	2.000	572.000	119.718	121.866	122.823	nan	nan	9,9,9,	123.973,124.354,124.668,	9.000	125.825	-321.000	321.000	-428.000	428.000	1.156	0.958	3.273	
2	2.000	1.000	3.000	572.000	129.110	131.765	133.170	nan	nan	8,8,8,8,	133.477,133.786,134.049,134.312,	8.000	136.172	-214.000	214.000	-107.000	321.000	1.662	1.407	3.794	
2	2.000	1.000	4.000	572.000	140.009	142.134	143.839	nan	nan	9,9,9,9,	144.832,145.103,145.375,145.738,	9.000	146.841	-107.000	214.000	-321.000	321.000	1.166	1.706	3.981	
2	2.000	1.000	5.000	572.000	150.845	152.758	154.593	nan	nan	8,8,8,	155.010,155.333,155.629,	8.000	157.595	-214.000	214.000	-321.000	321.000	0.934	1.836	3.666	
2	2.000	1.000	6.000	572.000	161.271	163.583	164.806	nan	nan	9,9,9,9,	165.358,165.662,165.948,166.244,	9.000	167.807	-214.000	428.000	-107.000	214.000	1.320	1.223	2.965	
2	2.000	1.000	7.000	572.000	170.782	172.375	173.917	nan	nan	8,8,8,	174.494,174.780,175.025,	8.000	176.918	-428.000	214.000	-214.000	321.000	0.601	1.542	2.161	
2	2.000	1.000	8.000	572.000	179.102	181.806	182.981	nan	nan	9,9,9,	183.463,183.744,184.021,	9.000	185.983	-107.000	321.000	-428.000	107.000	1.725	1.175	2.238	
2	2.000	1.000	9.000	572.000	188.254	190.939	191.708	nan	nan	9,9,9,9,9,	192.270,192.573,192.832,193.102,193.609,	9.000	194.710	-214.000	428.000	-107.000	107.000	1.715	0.770	3.672	
2	2.000	1.000	10.000	572.000	198.404	200.425	201.619	nan	nan	8,8,	203.151,203.412,	8.000	204.620	-107.000	214.000	-428.000	321.000	1.040	1.195	2.791	
2	2.000	1.000	11.000	572.000	207.433	209.652	211.429	nan	nan	9,9,9,9,	211.573,211.868,212.138,212.464,	9.000	214.431	-214.000	428.000	-321.000	107.000	1.238	1.778	2.662	
2	2.000	1.000	12.000	572.000	217.129	220.043	221.565	nan	nan	9,9,9,9,	222.147,222.474,222.736,222.976,	9.000	224.566	-428.000	428.000	-214.000	107.000	1.947	1.523	2.283	
2	2.000	1.000	13.000	572.000	226.889	229.837	230.949	nan	nan	8,8,	232.486,232.789,	8.000	233.951	-428.000	214.000	-321.000	321.000	1.986	1.113	3.248	
2	2.000	1.000	14.000	572.000	237.238	239.338	240.855	nan	nan	9,9,9,9,9,	241.301,241.585,241.841,242.103,242.403,	9.000	243.856	-321.000	428.000	-214.000	107.000	1.137	1.518	3.871	
2	2.000	1.000	15.000	572.000	247.777	250.262	251.890	nan	nan	9,9,9,	253.190,253.483,253.728,	9.000	254.892	-107.000	321.000	-428.000	428.000	1.532	1.629	3.415	
2	2.000	1.000	16.000	572.000	258.351	261.261	262.137	9.000	265.150	nan	nan	nan	nan	-428.000	321.000	-321.000	107.000	1.952	0.876	3.260	
2	2.000	1.000	17.000	572.000	268.444	270.766	272.201	nan	nan	9,9,9,9,	272.777,273.053,273.284,273.509,	9.000	275.202	-428.000	428.000	-107.000	214.000	1.354	1.436	2.199	
2	2.000	1.000	18.000	572.000	277.438	279.859	281.116	nan	nan	8,8,8,8,	281.433,281.734,282.004,282.254,	8.000	284.117	-214.000	214.000	-321.000	428.000	1.455	1.257	2.360	
2	2.000	1.000	19.000	572.000	286.515	289.369	290.090	nan	nan	8,8,8,8,	291.134,291.417,291.684,291.961,	8.000	293.092	-428.000	321.000	-321.000	428.000	1.889	0.722	3.087	
2	2.000	1.000	20.000	572.000	296.203	298.371	299.917	nan	nan	9,9,9,9,9,9,	300.469,300.750,301.010,301.281,301.565,301.867,	9.000	302.918	-107.000	428.000	-214.000	107.000	1.190	1.547	3.151	
2	2.000	1.000	21.000	572.000	306.088	308.869	309.783	nan	nan	9,9,9,	311.176,311.494,311.765,	9.000	312.785	-321.000	321.000	-107.000	214.000	1.797	0.915	3.177	
2	2.000	1.000	22.000	572.000	315.987	318.174	319.450	nan	nan	8,8,	320.908,321.243,	8.000	322.452	-321.000	214.000	-107.000	107.000	1.209	1.277	3.730	
2	2.000	1.000	23.000	572.000	326.198	327.766	328.309	nan	nan	9,9,	329.701,330.280,	9.000	331.311	-107.000	428.000	-428.000	107.000	0.582	0.543	2.309	
2	2.000	1.000	24.000	572.000	333.672	335.527	336.167	8.000	339.180	nan	nan	nan	nan	-321.000	214.000	-428.000	107.000	0.905	0.640	2.341	
2	2.000	1.000	25.000	572.000	341.559	343.196	344.178	nan	nan	8,8,8,	345.363,345.645,345.909,	8.000	347.179	107.000	321.000	428.000	321.000	0.674	0.982	3.814	
2	2.000	1.000	26.000	572.000	351.046	353.441	354.736	nan	nan	9,9,9,9,	355.803,356.060,356.323,356.596,	9.000	357.738	-428.000	428.000	-107.000	107.000	1.445	1.296	2.566	
2	2.000	1.000	27.000	572.000	360.329	362.110	363.912	nan	nan	9,9,9,9,9,	364.172,364.401,364.638,364.873,365.092,	9.000	366.914	-214.000	428.000	-428.000	107.000	0.804	1.802	2.630	
2	2.000	1.000	28.000	572.000	369.564	372.045	373.900	nan	nan	9,9,9,9,9,	374.191,374.455,374.706,374.986,375.238,	9.000	376.901	-428.000	428.000	-321.000	107.000	1.498	1.855	3.781	
2	2.000	1.000	29.000	572.000	380.729	383.454	385.144	nan	nan	9,9,9,9,9,	385.281,385.544,385.801,386.075,386.334,	9.000	388.146	-214.000	214.000	-428.000	107.000	1.768	1.691	3.003	
2	2.000	1.000	30.000	572.000	391.188	393.906	395.418	nan	nan	9,9,9,9,9,9,9,	395.700,395.962,396.239,396.495,396.762,397.058,397.377,	9.000	398.420	-107.000	428.000	-214.000	214.000	1.754	1.513	2.373	
2	2.000	1.000	31.000	572.000	400.841	402.710	403.846	nan	nan	8,8,8,8,8,8,	404.280,404.624,404.912,405.203,405.487,405.759,	8.000	406.848	-321.000	214.000	-214.000	107.000	0.915	1.137	3.839	
2	2.000	1.000	32.000	572.000	410.730	413.087	414.536	nan	nan	8,8,8,8,	415.143,415.455,415.761,416.062,	8.000	417.538	-214.000	107.000	-321.000	214.000	1.397	1.450	3.910	
2	2.000	1.000	33.000	572.000	421.475	424.088	425.557	nan	nan	9,9,9,9,	426.453,426.716,426.977,427.231,	9.000	428.560	-107.000	214.000	-428.000	107.000	1.638	1.469	3.029	
2	2.000	1.000	34.000	572.000	431.616	433.091	433.952	nan	nan	8,8,8,	435.156,435.459,435.756,	8.000	436.954	-214.000	107.000	-321.000	321.000	0.500	0.862	3.228	
2	2.000	1.000	35.000	572.000	440.211	443.016	444.408	nan	nan	9,9,9,9,	444.945,445.252,445.512,445.753,	9.000	447.410	-214.000	428.000	-321.000	214.000	1.831	1.392	3.865	
2	2.000	1.000	36.000	572.000	451.326	454.190	456.006	nan	nan	8,8,8,8,8,8,	456.227,456.490,456.802,457.116,457.436,457.737,	8.000	459.008	-321.000	321.000	-214.000	428.000	1.913	1.817	3.293	
2	2.000	1.000	37.000	572.000	462.327	463.827	465.591	nan	nan	9,9,9,9,9,	466.338,466.646,466.905,467.169,467.438,	9.000	468.592	-107.000	428.000	-214.000	321.000	0.524	1.764	2.804	
2	2.000	1.000	38.000	572.000	471.420	473.617	474.286	nan	nan	9,	476.075,	9.000	477.287	-321.000	428.000	-428.000	321.000	1.219	0.669	2.424	
2	2.000	1.000	39.000	572.000	479.731	481.909	483.475	nan	nan	8,8,8,8,8,	483.807,484.123,484.403,484.707,485.001,	8.000	486.476	-321.000	214.000	-107.000	428.000	1.195	1.566	3.093	
2	2.000	1.000	40.000	572.000	489.633	492.152	493.380	nan	nan	8,8,8,8,8,	494.095,494.408,494.720,495.030,495.347,	8.000	496.382	-214.000	214.000	-428.000	428.000	1.580	1.228	2.514	
2	2.000	1.000	41.000	572.000	498.963	501.875	502.451	nan	nan	8,8,8,	503.706,504.052,504.348,	8.000	505.453	-321.000	214.000	-107.000	321.000	1.976	0.577	3.241	
2	2.000	1.000	42.000	572.000	508.717	510.471	511.882	nan	nan	8,8,8,8,8,8,	512.156,512.455,512.740,513.037,513.333,513.630,	8.000	514.884	-107.000	214.000	-214.000	321.000	0.775	1.412	3.402	
2	2.000	1.000	43.000	572.000	518.307	519.875	521.074	nan	nan	9,9,9,9,9,	521.764,522.096,522.380,522.697,523.015,	9.000	524.076	-214.000	107.000	-428.000	214.000	0.587	1.199	3.968	
2	2.000	1.000	44.000	572.000	528.070	530.911	532.896	nan	nan	9,9,9,	532.957,533.212,533.460,	9.000	535.898	-428.000	428.000	-214.000	321.000	1.865	1.986	2.347	
2	2.000	1.000	45.000	572.000	538.292	541.247	542.755	nan	nan	9,9,9,9,	543.306,543.615,543.873,544.120,	9.000	545.756	-107.000	428.000	-321.000	321.000	2.000	1.508	3.543	
2	2.000	1.000	46.000	572.000	549.345	551.173	551.769	nan	nan	9,	553.629,	9.000	554.771	-107.000	107.000	-428.000	214.000	0.871	0.596	3.466	
2	2.000	1.000	47.000	572.000	558.266	560.184	560.717	nan	nan	9,	562.518,	9.000	563.719	-321.000	107.000	-428.000	214.000	0.944	0.534	3.338	
