subjID	session	Block	trialCount	earnings	Gam1Onset	Gam2Onset	FBOnset	KPlate	RTlate	KPs	RT	KP_Final	SLOnset	Gam1_1	Gam1_2	Gam2_1	Gam2_2	jit1	jit2	jit3
1	2	1	1	666.389	123.048	125.132	125.78	9	128.806	nan	nan	nan	nan	81.75	149.62	54.64	122.32	1.084	0.65	3.19
1	2	1	2	666.389	132.007	134.154	135.112	nan	nan	9,	135.643,	9	138.114	81.75	223.87	54.64	149.62	1.156	0.958	3.273
1	2	1	3	666.389	141.4	144.053	145.459	nan	nan	8,	145.842,	8	148.461	54.64	223.87	44.67	149.62	1.662	1.407	3.794
1	2	1	4	666.389	152.266	154.423	156.129	nan	nan	9,9,9,	156.360,157.027,157.726,	9	159.13	81.75	223.87	66.83	183.02	1.166	1.706	3.981
1	2	1	5	666.389	163.122	165.047	166.883	nan	nan	9,9,	167.592,168.061,	9	169.885	66.83	223.87	54.64	149.62	0.934	1.836	3.666
1	2	1	6	666.389	173.561	175.873	177.096	nan	nan	9,9,	178.441,178.843,	9	180.097	66.83	149.62	54.64	122.32	1.32	1.223	2.965
1	2	1	7	666.389	183.073	184.665	186.207	nan	nan	9,9,	187.327,187.797,	9	189.208	54.64	183.02	44.67	122.32	0.601	1.542	2.161
1	2	1	8	666.389	191.381	194.097	195.271	nan	nan	9,9,	196.494,196.812,	9	198.273	66.83	223.87	44.67	149.62	1.725	1.175	2.238
1	2	1	9	666.389	200.523	203.229	203.999	nan	nan	9,	204.923,	9	207.001	81.75	223.87	44.67	183.02	1.715	0.77	3.672
1	2	1	10	666.389	210.684	212.715	213.909	nan	nan	8,	214.677,	8	216.911	81.75	183.02	54.64	122.32	1.04	1.195	2.791
1	2	1	11	666.389	219.714	221.943	223.721	9	226.733	nan	nan	nan	nan	81.75	149.62	44.67	122.32	1.238	1.778	2.662
1	2	1	12	666.389	229.407	232.344	233.866	nan	nan	8,8,8,	233.988,234.392,235.039,	8	236.868	81.75	183.02	66.83	149.62	1.947	1.523	2.283
1	2	1	13	666.389	239.163	242.139	243.251	nan	nan	8,8,8,	243.924,244.744,245.104,	8	246.253	81.75	122.32	66.83	183.02	1.986	1.113	3.248
1	2	1	14	666.389	249.513	251.639	253.157	nan	nan	9,9,9,9,	253.450,253.757,254.013,254.670,	9	256.158	66.83	183.02	54.64	122.32	1.137	1.518	3.871
1	2	1	15	666.389	260.043	262.564	264.192	nan	nan	9,9,9,	265.498,265.826,266.188,	9	267.195	66.83	183.02	54.64	149.62	1.532	1.629	3.415
