subjID	session	Block	trialCount	earnings	Gam1Onset	Gam2Onset	FBOnset	KPlate	RTlate	KPs	RT	KP_Final	SLOnset	Gam1_1	Gam1_2	Gam2_1	Gam2_2	jit1	jit2	jit3	
2	2.000	1.000	1.000	666.519	62.629	65.176	66.721	nan	nan	9,	67.140,	9.000	69.723	54.640	223.870	44.670	122.320	1.547	1.547	3.897	
2	2.000	1.000	2.000	666.519	73.680	75.948	76.872	nan	nan	9,9,	76.939,77.677,	9.000	79.874	81.750	149.620	44.670	183.020	1.325	0.924	3.633	
2	2.000	1.000	3.000	666.519	83.525	85.180	86.195	nan	nan	9,9,	86.559,87.408,	9.000	89.196	66.830	223.870	54.640	149.620	0.669	1.016	2.997	
2	2.000	1.000	4.000	666.519	92.204	95.109	96.525	nan	nan	9,	96.905,	9.000	99.529	81.750	223.870	66.830	149.620	1.913	1.416	3.859	
2	2.000	1.000	5.000	666.519	103.399	105.527	106.219	nan	nan	9,	106.796,	9.000	109.221	66.830	223.870	44.670	122.320	1.137	0.693	2.727	
2	2.000	1.000	6.000	666.519	111.959	114.525	115.927	nan	nan	9,9,	116.097,116.812,	9.000	118.928	54.640	183.020	44.670	122.320	1.576	1.402	2.958	
2	2.000	1.000	7.000	666.519	121.898	124.662	126.093	nan	nan	9,	126.497,	9.000	129.097	66.830	223.870	54.640	183.020	1.773	1.431	2.797	
2	2.000	1.000	8.000	666.519	131.906	133.474	134.620	nan	nan	9,	135.231,	9.000	137.622	81.750	183.020	44.670	122.320	0.577	1.146	3.524	
2	2.000	1.000	9.000	666.519	141.158	143.039	144.740	nan	nan	9,	144.973,	9.000	147.741	66.830	149.620	44.670	122.320	0.891	1.701	2.431	
2	2.000	1.000	10.000	666.519	150.186	152.142	153.428	nan	nan	9,	153.881,	9.000	156.430	81.750	149.620	44.670	223.870	0.968	1.286	2.849	
2	2.000	1.000	11.000	666.519	159.291	161.611	163.060	nan	nan	9,	163.709,	9.000	166.062	81.750	122.320	66.830	183.020	1.330	1.450	3.775	
2	2.000	1.000	12.000	666.519	169.851	171.465	173.223	nan	nan	9,	173.700,	9.000	176.225	81.750	183.020	66.830	149.620	0.625	1.759	3.531	
2	2.000	1.000	13.000	666.519	179.769	182.237	183.282	nan	nan	9,	183.714,	9.000	186.283	66.830	223.870	44.670	149.620	1.479	1.045	3.299	
2	2.000	1.000	14.000	666.519	189.595	191.784	193.132	nan	nan	9,	193.260,	9.000	196.136	81.750	149.620	66.830	122.320	1.199	1.349	2.296	
2	2.000	1.000	15.000	666.519	198.445	201.179	202.262	nan	nan	9,	202.711,	9.000	205.265	54.640	149.620	44.670	122.320	1.744	1.084	3.582	
2	2.000	1.000	16.000	666.519	208.861	211.083	211.722	nan	nan	9,	212.702,	9.000	214.724	54.640	183.020	44.670	149.620	1.233	0.640	2.457	
2	2.000	1.000	17.000	666.519	217.194	218.798	219.751	nan	nan	9,	220.190,	9.000	222.755	54.640	223.870	44.670	149.620	0.616	0.953	3.678	
2	2.000	1.000	18.000	666.519	226.447	229.161	230.553	nan	nan	9,	231.136,	9.000	233.555	81.750	183.020	54.640	122.320	1.725	1.392	2.264	
2	2.000	1.000	19.000	666.519	235.832	237.963	238.897	nan	nan	9,9,	239.294,240.132,	9.000	241.898	81.750	149.620	54.640	122.320	1.141	0.934	2.193	
2	2.000	1.000	20.000	666.519	244.105	246.790	247.810	nan	nan	9,	248.218,	9.000	250.816	81.750	149.620	44.670	122.320	1.696	1.021	3.383	
2	2.000	1.000	21.000	666.519	254.212	256.275	258.255	nan	nan	9,9,	258.508,258.996,	9.000	261.256	66.830	183.020	54.640	149.620	1.074	1.981	3.267	
2	2.000	1.000	22.000	666.519	264.537	266.489	267.340	nan	nan	9,	267.737,	9.000	270.342	54.640	223.870	44.670	183.020	0.963	0.852	3.370	
2	2.000	1.000	23.000	666.519	273.727	276.111	277.590	nan	nan	9,	278.259,	9.000	280.591	66.830	183.020	44.670	122.320	1.397	1.479	3.003	
2	2.000	1.000	24.000	666.519	283.609	285.883	286.604	nan	nan	9,	287.308,	9.000	289.606	66.830	223.870	44.670	183.020	1.286	0.722	2.084	
2	2.000	1.000	25.000	666.519	291.705	294.051	295.611	nan	nan	8,	296.205,	8.000	298.614	122.320	183.020	223.870	183.020	1.359	1.561	3.222	
2	2.000	1.000	26.000	666.519	301.850	304.597	305.410	nan	nan	9,9,	306.191,306.988,	9.000	308.411	81.750	223.870	44.670	183.020	1.759	0.814	3.151	
2	2.000	1.000	27.000	666.519	311.577	314.464	316.020	nan	nan	9,	316.579,	9.000	319.021	81.750	223.870	54.640	183.020	1.899	1.556	3.955	
2	2.000	1.000	28.000	666.519	322.992	325.347	326.175	nan	nan	9,	326.594,	9.000	329.176	81.750	223.870	44.670	122.320	1.368	0.828	3.402	
2	2.000	1.000	29.000	666.519	332.594	334.230	334.730	nan	nan	9,	335.193,	9.000	337.731	81.750	223.870	66.830	122.320	0.650	0.500	2.502	
2	2.000	1.000	30.000	666.519	340.249	342.131	343.412	nan	nan	9,	343.709,	9.000	346.416	81.750	223.870	54.640	122.320	0.895	1.281	3.563	
2	2.000	1.000	31.000	666.519	349.995	351.708	352.530	nan	nan	9,	352.924,	9.000	355.534	81.750	149.620	54.640	183.020	0.727	0.823	3.601	
2	2.000	1.000	32.000	666.519	359.152	360.966	362.551	nan	nan	9,9,	362.940,363.856,	9.000	365.552	66.830	183.020	54.640	122.320	0.828	1.585	2.444	
2	2.000	1.000	33.000	666.519	368.012	370.294	371.763	nan	nan	9,	372.094,	9.000	374.768	66.830	223.870	54.640	122.320	1.296	1.469	2.392	
2	2.000	1.000	34.000	666.519	377.176	378.720	379.311	nan	nan	9,	379.867,	9.000	382.313	66.830	149.620	54.640	122.320	0.558	0.592	2.051	
2	2.000	1.000	35.000	666.519	384.380	386.180	387.350	nan	nan	9,	387.728,	9.000	390.352	66.830	183.020	44.670	149.620	0.814	1.170	3.453	
2	2.000	1.000	36.000	666.519	393.822	396.716	397.447	nan	nan	9,	397.811,	9.000	400.449	81.750	223.870	54.640	149.620	1.908	0.732	3.884	
2	2.000	1.000	37.000	666.519	404.350	406.293	407.652	nan	nan	9,	408.152,	9.000	410.656	81.750	223.870	66.830	183.020	0.958	1.359	2.354	
2	2.000	1.000	38.000	666.519	413.027	414.594	416.492	nan	nan	9,	417.377,	9.000	419.494	54.640	122.320	44.670	149.620	0.582	1.899	3.074	
2	2.000	1.000	39.000	666.519	422.585	424.832	425.496	nan	nan	8,8,	425.792,426.108,	8.000	428.497	44.670	183.020	81.750	149.620	1.262	0.664	2.984	
2	2.000	1.000	40.000	666.519	431.498	433.013	434.655	nan	nan	9,	436.591,	9.000	437.657	66.830	149.620	44.670	223.870	0.529	1.643	3.916	
2	2.000	1.000	41.000	666.519	441.591	443.635	445.158	nan	nan	8,	445.471,	8.000	448.159	54.640	122.320	66.830	183.020	1.059	1.523	2.489	
2	2.000	1.000	42.000	666.519	450.665	452.498	453.880	nan	nan	8,	454.518,	8.000	456.882	54.640	122.320	81.750	149.620	0.847	1.383	2.579	
2	2.000	1.000	43.000	666.519	459.478	461.151	461.959	nan	nan	9,	462.774,	9.000	464.962	81.750	122.320	44.670	183.020	0.688	0.809	3.659	
2	2.000	1.000	44.000	666.519	468.639	471.218	472.480	nan	nan	9,	472.950,	9.000	475.481	66.830	149.620	44.670	183.020	1.595	1.262	3.749	
2	2.000	1.000	45.000	666.519	479.249	482.204	483.041	nan	nan	9,	483.555,	9.000	486.042	81.750	122.320	54.640	183.020	1.971	0.838	2.514	
2	2.000	1.000	46.000	666.519	488.575	491.540	492.879	nan	nan	9,	493.248,	9.000	495.883	54.640	122.320	44.670	183.020	1.981	1.339	3.801	
2	2.000	1.000	47.000	666.519	499.702	502.440	503.167	nan	nan	8,	503.642,	8.000	506.172	54.640	122.320	66.830	223.870	1.754	0.727	2.148	
2	2.000	1.000	48.000	666.519	508.338	510.516	512.352	nan	nan	9,	512.745,	9.000	515.357	81.750	122.320	66.830	149.620	1.195	1.836	2.688	
2	2.000	1.000	49.000	666.519	518.063	519.798	521.470	nan	nan	9,	521.950,	9.000	524.471	66.830	149.620	54.640	183.020	0.751	1.672	2.482	
2	2.000	1.000	50.000	666.519	526.972	529.912	531.150	nan	nan	8,8,	531.252,531.665,	8.000	534.152	44.670	223.870	81.750	223.870	1.957	1.238	2.270	
2	2.000	1.000	51.000	666.519	536.441	538.585	539.470	nan	nan	9,	539.991,	9.000	542.472	54.640	122.320	44.670	223.870	1.161	0.886	3.235	
2	2.000	1.000	52.000	666.519	545.726	547.421	548.649	nan	nan	8,	549.150,	8.000	551.651	66.830	149.620	54.640	223.870	0.712	1.228	2.424	
2	2.000	1.000	53.000	666.519	554.094	556.629	557.138	nan	nan	9,	557.845,	9.000	560.140	81.750	122.320	44.670	223.870	1.551	0.510	3.550	
2	2.000	1.000	54.000	666.519	563.709	566.408	568.311	nan	nan	8,	568.641,	8.000	571.315	81.750	122.320	54.640	223.870	1.715	1.904	2.733	
2	2.000	1.000	55.000	666.519	574.067	575.903	576.885	nan	nan	8,	577.339,	8.000	579.886	81.750	183.020	54.640	223.870	0.852	0.982	2.907	
