subjID	session	Block	trialCount	earnings	Gam1Onset	Gam2Onset	FBOnset	KPs	RT	KPlate	RTlate	KP_Final	SLOnset	Gam1_1	Gam1_2	Gam2_1	Gam2_2	jit1	jit2	jit3	
8	2.000	1.000	1.000	815.235	74.476	76.109	77.365	8,9,	77.800,79.312,	nan	nan	9.000	80.380	183.020	44.670	223.870	44.670	0.640	1.257	2.752	
8	2.000	1.000	2.000	815.235	83.143	84.848	86.558	8,	87.145,	nan	nan	8.000	89.571	81.750	149.620	44.670	223.870	0.712	1.711	2.251	
8	2.000	1.000	3.000	815.235	91.832	93.947	95.700	9,	96.074,	nan	nan	9.000	98.711	81.750	149.620	44.670	122.320	1.122	1.754	2.289	
8	2.000	1.000	4.000	815.235	101.010	102.526	104.106	9,	104.853,	nan	nan	9.000	107.118	66.830	183.020	44.670	122.320	0.524	1.580	2.907	
8	2.000	1.000	5.000	815.235	110.034	112.428	113.603	9,	113.868,	nan	nan	9.000	116.617	81.750	149.620	66.830	122.320	1.402	1.175	3.884	
8	2.000	1.000	6.000	815.235	120.511	122.533	123.945	8,9,	124.884,125.393,	nan	nan	9.000	126.956	66.830	183.020	54.640	122.320	1.031	1.412	2.656	
8	2.000	1.000	7.000	815.235	129.622	132.368	133.615	9,	135.131,	nan	nan	9.000	136.625	54.640	223.870	44.670	149.620	1.754	1.248	2.193	
8	2.000	1.000	8.000	815.235	138.828	140.422	141.621	9,	142.549,	nan	nan	9.000	144.632	81.750	149.620	54.640	122.320	0.601	1.199	3.531	
8	2.000	1.000	9.000	815.235	148.172	150.706	152.652	8,	153.170,	nan	nan	8.000	155.663	66.830	223.870	44.670	122.320	1.542	1.947	3.016	
8	2.000	1.000	10.000	815.235	158.689	161.513	163.483	9,	163.957,	nan	nan	9.000	166.495	54.640	183.020	44.670	149.620	1.831	1.971	2.997	
8	2.000	1.000	11.000	815.235	169.501	172.156	172.689	nan	nan	8.000	175.712	nan	nan	81.750	223.870	54.640	183.020	1.662	0.534	3.550	
8	2.000	1.000	12.000	815.235	179.272	181.681	182.272	8,	182.439,	nan	nan	8.000	185.286	81.750	122.320	66.830	183.020	1.416	0.592	2.823	
8	2.000	1.000	13.000	815.235	188.119	189.703	190.217	9,	190.686,	nan	nan	9.000	193.228	81.750	149.620	54.640	183.020	0.592	0.514	2.662	
8	2.000	1.000	14.000	815.235	195.900	198.550	200.511	9,	200.836,	nan	nan	9.000	203.523	183.020	149.620	223.870	149.620	1.658	1.961	2.810	
8	2.000	1.000	15.000	815.235	206.346	209.162	210.978	9,	211.147,	nan	nan	9.000	213.992	81.750	183.020	44.670	122.320	1.826	1.817	2.920	
8	2.000	1.000	16.000	815.235	216.923	218.891	220.191	9,	220.516,	nan	nan	9.000	223.202	81.750	183.020	54.640	122.320	0.977	1.301	2.637	
8	2.000	1.000	17.000	815.235	225.849	227.982	229.345	8,	229.694,	nan	nan	8.000	232.356	81.750	149.620	44.670	183.020	1.141	1.363	2.444	
8	2.000	1.000	18.000	815.235	234.810	236.760	237.622	9,	238.579,	nan	nan	9.000	240.632	66.830	149.620	54.640	122.320	0.958	0.862	3.338	
8	2.000	1.000	19.000	815.235	243.980	246.456	247.636	9,	249.425,	nan	nan	9.000	250.646	81.750	223.870	54.640	122.320	1.484	1.180	2.688	
8	2.000	1.000	20.000	815.235	253.344	255.391	257.072	8,9,	257.389,258.845,	nan	nan	9.000	260.084	54.640	223.870	44.670	122.320	1.055	1.682	2.727	
8	2.000	1.000	21.000	815.235	262.820	265.634	267.503	9,	267.753,	nan	nan	9.000	270.515	81.750	223.870	66.830	122.320	1.822	1.870	2.585	
8	2.000	1.000	22.000	815.235	273.110	274.790	275.733	9,	276.420,	nan	nan	9.000	278.744	66.830	149.620	44.670	122.320	0.688	0.944	2.457	
8	2.000	1.000	23.000	815.235	281.211	282.862	283.472	8,	283.703,	nan	nan	8.000	286.485	66.830	223.870	44.670	183.020	0.659	0.611	2.347	
8	2.000	1.000	24.000	815.235	288.843	290.460	291.225	9,8,	291.997,293.046,	nan	nan	8.000	294.236	54.640	149.620	44.670	122.320	0.625	0.765	2.450	
8	2.000	1.000	25.000	815.235	296.696	298.603	299.912	9,	300.387,	nan	nan	9.000	302.923	81.750	223.870	54.640	149.620	0.915	1.310	2.926	
8	2.000	1.000	26.000	815.235	305.859	308.292	308.840	9,8,	309.690,310.546,	nan	nan	8.000	311.851	66.830	223.870	54.640	149.620	1.441	0.548	3.357	
8	2.000	1.000	27.000	815.235	315.218	316.927	317.851	8,	318.960,	nan	nan	8.000	320.862	66.830	122.320	81.750	122.320	0.717	0.924	3.653	
8	2.000	1.000	28.000	815.235	324.528	327.082	327.717	8,	327.873,	nan	nan	8.000	330.731	66.830	223.870	54.640	183.020	1.566	0.635	3.280	
8	2.000	1.000	29.000	815.235	334.021	335.860	337.030	9,	337.533,	nan	nan	9.000	340.040	81.750	183.020	66.830	149.620	0.847	1.170	3.852	
8	2.000	1.000	30.000	815.235	343.903	345.829	347.558	9,	347.960,	nan	nan	9.000	350.569	81.750	223.870	66.830	149.620	0.934	1.730	3.743	
8	2.000	1.000	31.000	815.235	354.324	356.909	358.711	9,	359.035,	nan	nan	9.000	361.725	54.640	183.020	44.670	122.320	1.595	1.802	2.071	
8	2.000	1.000	32.000	815.235	363.812	366.031	366.719	8,	367.054,	nan	nan	8.000	369.732	81.750	223.870	44.670	183.020	1.233	0.688	2.830	
8	2.000	1.000	33.000	815.235	372.572	374.695	376.628	9,	376.730,	nan	nan	9.000	379.641	81.750	223.870	44.670	122.320	1.132	1.932	2.418	
8	2.000	1.000	34.000	815.235	382.069	384.729	385.570	8,	385.951,	nan	nan	8.000	388.581	54.640	223.870	44.670	183.020	1.667	0.842	3.621	
8	2.000	1.000	35.000	815.235	392.212	394.760	395.375	9,	395.806,	nan	nan	9.000	398.386	66.830	183.020	44.670	149.620	1.556	0.616	3.910	
8	2.000	1.000	36.000	815.235	402.307	404.879	405.755	8,	406.892,	nan	nan	8.000	408.765	66.830	223.870	54.640	122.320	1.580	0.876	3.968	
8	2.000	1.000	37.000	815.235	412.746	414.925	416.322	9,	417.631,	nan	nan	9.000	419.332	66.830	223.870	44.670	149.620	1.190	1.397	3.164	
8	2.000	1.000	38.000	815.235	422.506	424.896	425.636	8,9,	426.162,426.939,	nan	nan	9.000	428.647	66.830	183.020	54.640	149.620	1.397	0.741	2.701	
8	2.000	1.000	39.000	815.235	431.358	433.598	435.549	8,	435.660,	nan	nan	8.000	438.563	81.750	223.870	66.830	183.020	1.248	1.952	3.106	
8	2.000	1.000	40.000	815.235	441.680	444.305	445.137	8,	445.913,	nan	nan	8.000	448.148	66.830	54.640	81.750	54.640	1.633	0.833	2.135	
8	2.000	1.000	41.000	815.235	450.293	452.581	453.163	9,	453.437,	nan	nan	9.000	456.174	81.750	183.020	66.830	223.870	1.296	0.582	3.768	
8	2.000	1.000	42.000	815.235	459.953	461.864	463.410	9,	463.544,	nan	nan	9.000	466.424	81.750	183.020	44.670	223.870	0.920	1.547	3.961	
8	2.000	1.000	43.000	815.235	470.395	473.242	474.687	8,9,	474.915,476.370,	nan	nan	9.000	477.698	81.750	122.320	66.830	149.620	1.855	1.445	2.617	
8	2.000	1.000	44.000	815.235	480.326	482.710	483.340	8,	483.707,	nan	nan	8.000	486.350	54.640	122.320	81.750	149.620	1.392	0.630	2.161	
8	2.000	1.000	45.000	815.235	488.521	490.414	491.950	9,	493.054,	nan	nan	9.000	494.962	44.670	122.320	66.830	223.870	0.900	1.537	2.257	
8	2.000	1.000	46.000	815.235	497.229	499.473	500.600	9,	501.052,	nan	nan	9.000	503.611	81.750	183.020	54.640	223.870	1.252	1.127	2.553	
8	2.000	1.000	47.000	815.235	506.175	507.705	508.576	8,	508.846,	nan	nan	8.000	511.588	54.640	149.620	44.670	183.020	0.539	0.871	3.389	
8	2.000	1.000	48.000	815.235	514.988	516.706	518.228	8,	518.463,	nan	nan	8.000	521.241	66.830	122.320	54.640	149.620	0.727	1.523	3.994	
8	2.000	1.000	49.000	815.235	525.246	526.916	528.018	8,	528.523,	9.000	531.029	8.000	531.029	81.750	122.320	44.670	149.620	0.678	1.103	2.399	
8	2.000	1.000	50.000	815.235	533.439	536.281	537.465	9,	537.747,	nan	nan	9.000	540.476	66.830	183.020	81.750	122.320	1.850	1.185	3.138	
8	2.000	1.000	51.000	815.235	543.625	545.955	547.174	9,	547.642,	nan	nan	9.000	550.185	81.750	122.320	66.830	223.870	1.339	1.219	3.370	
8	2.000	1.000	52.000	815.235	553.566	556.209	556.878	9,	557.097,	nan	nan	9.000	559.891	66.830	183.020	54.640	223.870	1.653	0.669	3.183	
8	2.000	1.000	53.000	815.235	563.084	564.629	565.268	9,	565.884,	nan	nan	9.000	568.279	149.620	54.640	223.870	54.640	0.553	0.640	3.537	
8	2.000	1.000	54.000	815.235	571.834	574.529	575.332	8,	575.670,	nan	nan	8.000	578.343	54.640	122.320	44.670	183.020	1.711	0.804	2.502	
8	2.000	1.000	55.000	815.235	580.856	583.736	584.274	9,	585.650,	nan	nan	9.000	587.284	44.670	183.020	81.750	149.620	1.889	0.539	3.318	
8	2.000	1.000	56.000	815.235	590.616	593.190	593.911	9,9,	594.303,594.728,	nan	nan	9.000	596.922	54.640	183.020	81.750	149.620	1.585	0.722	3.704	
8	2.000	1.000	57.000	815.235	600.650	602.365	603.636	9,	604.854,	8.000	606.647	9.000	606.647	54.640	122.320	66.830	223.870	0.736	1.272	3.132	
8	2.000	1.000	58.000	815.235	609.795	612.294	613.498	9,	613.899,	nan	nan	9.000	616.508	81.750	149.620	54.640	223.870	1.513	1.204	3.588	
8	2.000	1.000	59.000	815.235	620.110	622.872	624.510	8,	624.569,	nan	nan	8.000	627.524	81.750	122.320	44.670	183.020	1.773	1.638	2.804	
8	2.000	1.000	60.000	815.235	630.343	633.016	634.760	9,	635.007,	8.000	637.774	9.000	637.774	54.640	149.620	44.670	223.870	1.686	1.744	3.730	
8	2.000	1.000	61.000	815.235	641.523	643.261	644.171	8,	644.421,	nan	nan	8.000	647.185	81.750	122.320	54.640	183.020	0.756	0.910	3.299	
8	2.000	1.000	62.000	815.235	650.495	652.763	653.990	9,	654.391,	nan	nan	9.000	657.002	66.830	149.620	54.640	223.870	1.277	1.228	3.794	
8	2.000	1.000	63.000	815.235	660.815	662.810	663.772	9,	663.967,	nan	nan	9.000	666.786	66.830	183.020	44.670	223.870	1.011	0.963	3.762	
8	2.000	1.000	64.000	815.235	670.565	672.720	673.760	8,	674.526,	nan	nan	8.000	676.771	66.830	149.620	44.670	223.870	1.170	1.040	2.592	
8	2.000	1.000	65.000	815.235	679.373	681.747	682.777	9,	683.153,	nan	nan	9.000	685.788	81.750	149.620	66.830	223.870	1.383	1.031	3.215	
8	2.000	1.000	66.000	815.235	689.016	690.872	692.703	9,8,	693.097,693.951,	nan	nan	8.000	695.714	149.620	183.020	223.870	183.020	0.867	1.831	3.010	
8	2.000	1.000	67.000	815.235	698.736	701.046	702.476	8,	702.707,	nan	nan	8.000	705.490	66.830	122.320	44.670	149.620	1.320	1.431	2.495	
8	2.000	1.000	68.000	815.235	707.996	710.683	712.070	8,	712.535,	nan	nan	8.000	715.082	66.830	149.620	44.670	183.020	1.696	1.387	3.305	
8	2.000	1.000	69.000	815.235	718.399	720.810	722.660	9,	723.483,	nan	nan	9.000	725.671	81.750	122.320	44.670	223.870	1.421	1.850	2.264	
8	2.000	1.000	70.000	815.235	727.947	729.977	731.345	9,	731.635,	nan	nan	9.000	734.356	54.640	183.020	44.670	223.870	1.040	1.368	3.672	
8	2.000	1.000	71.000	815.235	738.041	739.969	741.101	8,	741.334,	nan	nan	8.000	744.112	66.830	122.320	44.670	183.020	0.939	1.132	3.113	
8	2.000	1.000	72.000	815.235	747.235	748.910	749.993	9,	750.692,	nan	nan	9.000	753.004	81.750	122.320	54.640	223.870	0.683	1.084	3.904	
8	2.000	1.000	73.000	815.235	756.920	758.617	759.333	8,	759.375,	nan	nan	8.000	762.346	81.750	149.620	66.830	183.020	0.707	0.717	2.476	
8	2.000	1.000	74.000	815.235	764.835	766.585	767.865	8,	769.059,	nan	nan	8.000	770.876	66.830	149.620	54.640	183.020	0.760	1.281	2.090	
8	2.000	1.000	75.000	815.235	772.977	775.746	777.621	8,9,	778.263,778.944,	nan	nan	9.000	780.632	54.640	122.320	44.670	149.620	1.778	1.875	2.900	
8	2.000	1.000	76.000	815.235	783.544	785.613	786.706	8,	787.056,	nan	nan	8.000	789.717	54.640	122.320	66.830	183.020	1.079	1.093	2.058	
8	2.000	1.000	77.000	815.235	791.785	793.412	795.257	8,	795.747,	nan	nan	8.000	798.268	44.670	223.870	81.750	149.620	0.635	1.846	3.711	
8	2.000	1.000	78.000	815.235	801.989	803.809	805.673	9,8,	806.378,806.751,	nan	nan	8.000	808.684	54.640	122.320	44.670	223.870	0.828	1.865	3.061	
8	2.000	1.000	79.000	815.235	811.759	813.354	814.089	8,	814.505,	nan	nan	8.000	817.100	54.640	183.020	81.750	183.020	0.606	0.736	3.691	
8	2.000	1.000	80.000	815.235	820.803	822.853	823.642	9,	824.264,	nan	nan	9.000	826.653	54.640	183.020	81.750	122.320	1.059	0.789	2.238	
8	2.000	1.000	81.000	815.235	828.901	831.859	832.749	9,	833.121,	nan	nan	9.000	835.760	44.670	183.020	66.830	149.620	1.966	0.891	2.932	
8	2.000	1.000	82.000	815.235	838.711	841.150	841.755	9,	842.928,	nan	nan	9.000	844.766	44.670	223.870	54.640	149.620	1.455	0.606	3.087	
8	2.000	1.000	83.000	815.235	847.872	849.673	850.602	8,	851.049,	nan	nan	8.000	853.613	54.640	223.870	81.750	183.020	0.818	0.929	3.350	
8	2.000	1.000	84.000	815.235	856.976	859.223	861.203	8,	861.553,	nan	nan	8.000	864.215	44.670	223.870	54.640	183.020	1.257	1.981	3.974	
8	2.000	1.000	85.000	815.235	868.200	870.410	871.435	9,8,	871.990,873.334,	nan	nan	8.000	874.446	54.640	149.620	66.830	122.320	1.219	1.026	2.116	
8	2.000	1.000	86.000	815.235	876.576	879.024	879.682	8,	881.590,	nan	nan	8.000	882.693	66.830	122.320	54.640	223.870	1.460	0.659	3.891	
8	2.000	1.000	87.000	815.235	886.595	889.456	891.214	8,	891.232,	nan	nan	8.000	894.227	54.640	223.870	81.750	122.320	1.870	1.759	3.807	
8	2.000	1.000	88.000	815.235	898.045	899.546	901.145	8,	901.432,	nan	nan	8.000	904.158	54.640	223.870	66.830	183.020	0.510	1.600	2.778	
8	2.000	1.000	89.000	815.235	906.948	909.225	910.139	9,	910.454,	nan	nan	9.000	913.150	81.750	183.020	44.670	149.620	1.286	0.915	3.395	
8	2.000	1.000	90.000	815.235	916.556	918.925	920.202	8,	920.895,	nan	nan	8.000	923.213	44.670	223.870	54.640	122.320	1.378	1.277	2.077	
8	2.000	1.000	91.000	815.235	925.301	928.205	929.534	9,	930.816,	nan	nan	9.000	932.545	44.670	149.620	54.640	122.320	1.913	1.330	3.273	
8	2.000	1.000	92.000	815.235	935.834	938.353	939.706	8,	940.295,	nan	nan	8.000	942.717	54.640	44.670	81.750	44.670	1.532	1.354	3.859	
8	2.000	1.000	93.000	815.235	946.587	948.299	949.701	9,	949.841,	nan	nan	9.000	952.714	54.640	183.020	66.830	149.620	0.722	1.402	2.277	
8	2.000	1.000	94.000	815.235	955.002	956.980	958.584	8,	958.983,	nan	nan	8.000	961.595	66.830	122.320	54.640	183.020	0.987	1.605	2.508	
8	2.000	1.000	95.000	815.235	964.114	966.825	968.680	9,	968.847,	nan	nan	9.000	971.694	44.670	183.020	54.640	149.620	1.720	1.855	3.158	
8	2.000	1.000	96.000	815.235	974.863	977.049	978.797	9,	979.343,	nan	nan	9.000	981.809	44.670	183.020	66.830	122.320	1.195	1.749	2.232	
8	2.000	1.000	97.000	815.235	984.052	986.666	988.299	8,	988.932,	nan	nan	8.000	991.310	66.830	149.620	81.750	122.320	1.624	1.633	2.463	
8	2.000	1.000	98.000	815.235	993.787	996.162	997.144	8,	997.172,	nan	nan	8.000	1000.158	44.670	223.870	81.750	183.020	1.387	0.982	2.431	
